Địa chỉ,Loại hình chi tiết,Sao khách sạn,Vĩ độ,Kinh độ,Quận/Huyện,Tên địa điểm,Số sao trung bình,Số lượt đánh giá,Loại hình,Giờ mở cửa,Giờ đóng cửa,Tổng giờ hoạt động
"Cảng hàng không quốc tế Tân Sơn Nhất, Big Bowl,International departure terminal, Đ. Trường Sơn, Ward 2, Tân Bình, Hồ Chí Minh, Việt Nam",Nhà hàng,,10.8154574,106.6640166,Tân Bình,Big Bowl,4.7,696,Nhà hàng/ địa điểm ăn uống,1,23.5,22.5
"130, Tân Quý, Tân Phú, Hồ Chí Minh, Việt Nam",Nhà hàng chuyên phục vụ bữa sáng,,10.7933804,106.6204425,Tân Phú,"Bún Riêu, Bún Mọc 130 Tân Quý",5,1,Nhà hàng/ địa điểm ăn uống,1.5,6,4.5
"E26 Cư Xá Phú Lâm B, Phường 13, Quận 6, Hồ Chí Minh, Việt Nam",Nhà hàng Takoyaki,,10.753408,106.629379,Quận 6,Lương ngọc hoa,5,1,Nhà hàng/ địa điểm ăn uống,2,10,8
"8 Bà Hom, Phường 13, Quận 6, Hồ Chí Minh, Việt Nam",Nhà hàng châu Á,,10.754432,106.6331714,Quận 6,Bún thịt nướng Phú Lâm,4.8,17,Nhà hàng/ địa điểm ăn uống,2,10,8
"1/1Trần, Văn Mười, Xuân Thới Thượng, Hóc Môn, Hồ Chí Minh, Việt Nam",Nhà hàng hải sản,,10.8561057,106.5899276,Hóc Môn,Ốc đêm 86,5,2,Nhà hàng/ địa điểm ăn uống,2,11.5,9.5
"31 Nguyễn Thị Tú, Bình Hưng Hoà B, Bình Tân, Hồ Chí Minh, Việt Nam",Nhà hàng Trung Quốc,,10.8161499,106.5999006,Bình Tân,Quán ăn gia đình Nguyễn Kí,5,1,Nhà hàng/ địa điểm ăn uống,2,11.93333333,9.933333333
"7 Tân Hải, Phường 13, Tân Bình, Hồ Chí Minh 72100, Việt Nam",Nhà hàng món chay,,10.8005711,106.63978,Tân Bình,Lẩu chay Mộc,4.8,38,Nhà hàng/ địa điểm ăn uống,2,23.5,21.5
"đầu đường Tam Thôn Hiệp, an nghĩa, Cần Giờ, Hồ Chí Minh, Việt Nam",Quán ăn nhỏ,,10.5875806,106.8257532,Cần Giờ,Cháo lòng má heo sang em,,0,Nhà hàng/ địa điểm ăn uống,2.5,8.5,6
"MHRH+F9R, TT. Tân Túc, Bình Chánh, Hồ Chí Minh, Việt Nam",Nhà hàng,,10.6912388,106.5783875,Bình Chánh,Cháo Lòng Chợ Đệm,4.2,83,Nhà hàng/ địa điểm ăn uống,2.5,9,6.5
"9 Đường số 25A, Bình Trị Đông B, Bình Tân, Hồ Chí Minh, Việt Nam",Nhà hàng Việt Nam,,10.7558189,106.6111557,Bình Tân,Cơm Tấm Bà Năm,4.6,10,Nhà hàng/ địa điểm ăn uống,2.5,11,8.5
"39/4 Đ. Tân Thắng, Sơn Kỳ, Tân Phú, Hồ Chí Minh, Việt Nam",Nhà hàng,,10.8056528,106.6226326,Tân Phú,Đậu Hũ Gia Truyền Cường Thuý ( Đạt tiêu chuẩn VSATTP ),,0,Nhà hàng/ địa điểm ăn uống,2.5,21,18.5
"47 Đ. Núi Thành, Phường 13, Tân Bình, Hồ Chí Minh, Việt Nam",Quán ăn nhỏ,,10.8009662,106.6429997,Tân Bình,Quán 74,4.2,126,Nhà hàng/ địa điểm ăn uống,2.5,23,20.5
"26 Bùi Công Trừng, Đông Thạnh, Hóc Môn, Hồ Chí Minh, Việt Nam",Quán ăn nhỏ,,10.907898,106.6538375,Hóc Môn,Cơm Tấm Hải,4.1,36,Nhà hàng/ địa điểm ăn uống,3,10,7
"48 đường số 9, An Phú Đông, Quận 12, Hồ Chí Minh, Việt Nam",Quán ăn nhẹ,,10.8583637,106.6883099,Quận 12,Hủ Tiếu Minh Cảnh,,0,Nhà hàng/ địa điểm ăn uống,3,12,9
"39 Tân Hòa Đông, Phường 14, Quận 6, Hồ Chí Minh, Việt Nam",Nhà hàng,,10.7566057,106.6320364,Quận 6,Bún Thịt Nướng Thảo Nguyên,4.2,12,Nhà hàng/ địa điểm ăn uống,3,13,10
"118/84 Đ. Lê Trọng Tấn, Tây Thạnh, Tân Phú, Hồ Chí Minh, Việt Nam",Nhà hàng,,10.8092367,106.6291669,Tân Phú,Bánh Bèo Bà Năm Nữ,4.3,100,Nhà hàng/ địa điểm ăn uống,3,21,18
"554 Lê Văn Việt, Long Thạnh Mỹ, Quận 9, Hồ Chí Minh, Việt Nam",Nhà hàng đậu hũ,,10.8494545,106.8112597,Quận 9,Cửa hàng đậu hũ,5,1,Nhà hàng/ địa điểm ăn uống,3,21,18
"Đ. Kinh Dương Vương, Phường 13, Quận 6, Hồ Chí Minh, Việt Nam",Công viên,,10.7470003,106.6244243,Quận 6,Công Viên Phú Lâm,4,5393,Điểm thu hút khách du lịch,3,23,20
"467 Hà Huy Giáp, Thạnh Xuân, Quận 12, Hồ Chí Minh, Việt Nam",Nhà hàng hải sản,,10.8712236,106.6759134,Quận 12,Quán Ốc LEN KEN HẢI SẢN TƯƠI SỐNG,3.4,5,Nhà hàng/ địa điểm ăn uống,3,23,20
"22 Hồ Thị Tư, Hiệp Phú, Quận 9, Hồ Chí Minh 71200, Việt Nam",Nhà hàng hải sản,,10.8445049,106.7790903,Quận 9,Ốc Điền | Quán ốc ngon quận 9,3.3,20,Nhà hàng/ địa điểm ăn uống,4,0,4
"PPR9+FXM, Bình Thuận, Quận 7, Hồ Chí Minh, Việt Nam",Nhà hàng,,10.7412088,106.7199365,Quận 7,Quán ăn Anh,4.4,19,Nhà hàng/ địa điểm ăn uống,4,0,4
"Thạnh hoà, Cần Giờ, Hồ Chí Minh, Việt Nam",Quán cà phê,,10.4690923,106.9747615,Cần Giờ,Cà phê Nhà Sữa,,0,Nhà hàng/ địa điểm ăn uống,4,0,4
"59 Đ. An Phú Đông 09, An Phú Đông, Quận 12, Hồ Chí Minh 729800, Việt Nam",Nhà hàng gia đình,,10.8583022,106.6884519,Quận 12,ỐC BỜ KÊNH,3.5,4,Nhà hàng/ địa điểm ăn uống,4,0.5,3.5
"645 Đ. Trần Xuân Soạn, Tân Thuận Tây, Quận 7, Hồ Chí Minh, Việt Nam",Nhà hàng,,10.7516918,106.7036571,Quận 7,ỐC SAY Quán,5,1,Nhà hàng/ địa điểm ăn uống,4,3,1
"228,tổ 1, Hồ Văn Tắng, Tân Phú Trung, Củ Chi, Hồ Chí Minh, Việt Nam",Nhà hàng món bánh mì nướng,,10.9668983,106.5480294,Củ Chi,Bánh Mì 228,,0,Nhà hàng/ địa điểm ăn uống,4,9,5
"7 Hẻm 47/52 Bùi Đình Túy, Phường 24, Bình Thạnh, Hồ Chí Minh, Việt Nam",Nhà hàng châu Á,,10.8062428,106.7072253,Bình Thạnh,Hào Sữa,4.4,42,Nhà hàng/ địa điểm ăn uống,4,10,6
"5 Đ. Quang Trung, TT. Hóc Môn, Hóc Môn, Hồ Chí Minh, Việt Nam",Nhà hàng chuyên phục vụ bữa sáng,,10.887634,106.6022788,Hóc Môn,Hủ Tíu,4.3,11,Nhà hàng/ địa điểm ăn uống,4,10.5,6.5
"4 Đ. Gò Dưa, Tam Binh, Thủ Đức, Hồ Chí Minh, Việt Nam",Nhà hàng,,10.8666042,106.7280717,Thủ Đức,Bún Bò Huế Gánh Xưa,3,2,Nhà hàng/ địa điểm ăn uống,4,11,7
"CX7F+J6H, Duyên Hải, TT. Cần Thạnh, Cần Giờ, Hồ Chí Minh 70000, Việt Nam",Quán ăn nhỏ,,10.4140755,106.973106,Cần Giờ,Món Ngon Bún Riêu CÔ THÚY,5,1,Nhà hàng/ địa điểm ăn uống,4,11,7
"435 Đ. Lý Thái Tổ, Phường 9, Quận 10, Hồ Chí Minh 70000, Việt Nam",Nhà hàng phở,,10.7678025,106.6687492,Quận 10,Phở Tàu Bay (Áo Đỏ),3.9,1206,Nhà hàng/ địa điểm ăn uống,4,12,8
"ấp 5, Xuân Thới Thượng, Hóc Môn, Hồ Chí Minh, Việt Nam",Nhà hàng chuyên phục vụ bữa sáng,,10.8654874,106.5643287,Hóc Môn,Hủ tiếu Nam Vang Thiên Phước,4.5,13,Nhà hàng/ địa điểm ăn uống,4,12,8
"1557 đường tỉnh lộ 8, tổ 3, ấp 1, 1557 TL8, tổ 3, ấp 1a, Củ Chi, Hồ Chí Minh, Việt Nam",Nhà hàng phở,,10.9803589,106.611087,Củ Chi,Cửa hàng Phở Nam Định,4.8,8,Nhà hàng/ địa điểm ăn uống,4,12,8
"VHRW+222, Đ. Liên Xã Thị Trấn-Tân Hiệp, Tân Hiệp, Hóc Môn, Hồ Chí Minh, Việt Nam",Nhà hàng,,10.8900006,106.595025,Hóc Môn,Cơm tấm bún thịt nướng,,0,Nhà hàng/ địa điểm ăn uống,4,14,10
"1 Đường số 10A, Khu dân cư Ấp 5 Phong Phú, Bình Chánh, Hồ Chí Minh, Việt Nam",Công viên,,10.7274992,106.649601,Bình Chánh,Công Viên Phúc Lộc Thọ,4,36,Điểm thu hút khách du lịch,4,19,15
