"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"416 Đ. Phạm Văn Đồng, Phường 11, Bình Thạnh, Hồ Chí Minh 70000, Việt Nam","Nhà hàng pizza","false","https://food.google.com/chooseprovider?restaurantId=/g/11lgvsqztd&g2lbs=AOHF13mc-mYFGfS7vMgwl28m5JHKgGP4eLSPGc6zf8c9mUWVNze1aMbUiVjYq7q4ndg3oFUZuq62ThFW-lbD9A-Xvo1lqB0mkh7O0u6a4kwbPyWyFbIDl50%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=6_RyZvyKJcfbkPIPqo-y8A0&ei=6_RyZvyKJcfbkPIPqo-y8A0&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.8209158","106.6965904","Thứ Tư","10:00 to 22:00","Thứ Năm","10:00 to 22:00","Thứ Sáu","10:00 to 22:00","Thứ Bảy","10:00 to 22:00","Chủ Nhật","10:00 to 22:00","Thứ Hai","10:00 to 22:00","Thứ Ba","10:00 to 22:00",,"84","Bình Thạnh, Hồ Chí Minh","416 Đ. Phạm Văn Đồng","3Râu : gà rán , pizza","3.3","https://www.google.com/maps/search/?api=1&query=3R%C3%A2u%20%3A%20ga%CC%80%20ra%CC%81n%20%2C%20pizza&query_place_id=ChIJkZvAlsMpdTEReDwawzUnr0g",,"36"
"493 Đ. Phạm Văn Đồng, Phường 13, Bình Thạnh, Hồ Chí Minh, Việt Nam","Nhà hàng gia đình","false",,,"10.8230418","106.7021753","Thứ Tư","06:00 to 10:00","Thứ Năm","06:00 to 10:00","Thứ Sáu","06:00 to 10:00","Thứ Bảy","06:00 to 10:00","Chủ Nhật","Đóng cửa","Thứ Hai","06:00 to 10:00","Thứ Ba","06:00 to 10:00",,"81","Bình Thạnh, Hồ Chí Minh","493 Đ. Phạm Văn Đồng","Bánh Hỏi Bình Định","2.5","https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20H%E1%BB%8Fi%20B%C3%ACnh%20%C4%90%E1%BB%8Bnh&query_place_id=ChIJ38iTLrcpdTERwY75AFFTNPI",,"2"
"334J Đ. Phan Văn Trị, Phường 11, Bình Thạnh, Hồ Chí Minh 70000, Việt Nam","Nhà hàng Việt Nam","true","https://food.google.com/chooseprovider?restaurantId=/g/11tg1y0kd2&g2lbs=AOHF13lLyztik0AY5OxORipLIxQpvZ5Ck_MJvbiAdaMzYWltKWGFSvBfNljz93ZQHdokDovyAcufzi12cqz4XYDe-qi0-soTvfOelWoMX48CcMFaTQhMjQA%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=7fRyZpCpC5S7kPIPn4Kq8Ag&ei=7fRyZpCpC5S7kPIPn4Kq8Ag&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.8186273","106.6949127","Thứ Tư","07:00 to 22:00","Thứ Năm","07:00 to 22:00","Thứ Sáu","07:00 to 22:00","Thứ Bảy","07:00 to 22:00","Chủ Nhật","07:00 to 22:00","Thứ Hai","07:00 to 22:00","Thứ Ba","07:00 to 22:00",,"82","Bình Thạnh, Hồ Chí Minh","334J Đ. Phan Văn Trị","Gà ta Xứ Nẫu 78","5","https://www.google.com/maps/search/?api=1&query=G%C3%A0%20ta%20X%E1%BB%A9%20N%E1%BA%ABu%2078&query_place_id=ChIJVT6ZoC4pdTERiTbNCu_8gmw",,"5"
"Đ. Phan Văn Trị, Phường 11, Bình Thạnh, Hồ Chí Minh, Việt Nam","Nhà hàng cơm","true",,,"10.8177935","106.6948763","Thứ Tư","07:00 to 21:00","Thứ Năm","07:00 to 21:00","Thứ Sáu","07:00 to 21:00","Thứ Bảy","07:00 to 21:00","Chủ Nhật","07:00 to 21:00","Thứ Hai","07:00 to 21:00","Thứ Ba","07:00 to 21:00",,"79","Bình Thạnh, Hồ Chí Minh","Đ. Phan Văn Trị","Quán Cơm Tấm Việt Hồng","5","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%C6%A1m%20T%E1%BA%A5m%20Vi%E1%BB%87t%20H%E1%BB%93ng&query_place_id=ChIJmZMfF-wodTER-jh5qZVjxHI",,"1"
"334 Đ. Phạm Văn Đồng, Phường 1, Gò Vấp, Hồ Chí Minh, Việt Nam","Quán mì","true",,,"10.8196529","106.6917651","Thứ Tư","06:00 to 14:00","Thứ Năm","06:00 to 14:00","Thứ Sáu","06:00 to 14:00","Thứ Bảy","06:00 to 14:00","Chủ Nhật","06:00 to 14:00","Thứ Hai","06:00 to 14:00","Thứ Ba","06:00 to 14:00",,"72","Gò Vấp, Hồ Chí Minh","334 Đ. Phạm Văn Đồng","Mì Quảng Dì Hai","5","https://www.google.com/maps/search/?api=1&query=M%C3%AC%20Qu%E1%BA%A3ng%20D%C3%AC%20Hai&query_place_id=ChIJmxdGCgspdTERU8nAqeiGpVg",,"6"
"332/38 Đ. Phan Văn Trị, Phường 11, Bình Thạnh, Hồ Chí Minh 700000, Việt Nam","Nhà hàng","false",,,"10.8184989","106.6953768","Thứ Tư","06:00 to 11:30","Thứ Năm","06:00 to 11:30","Thứ Sáu","06:00 to 11:30","Thứ Bảy","06:00 to 11:30","Chủ Nhật","06:00 to 11:30","Thứ Hai","06:00 to 11:30","Thứ Ba","06:00 to 11:30",,"71","Bình Thạnh, Hồ Chí Minh","332/38 Đ. Phan Văn Trị","Bánh canh cua Bột Gạo - Súp cua Chị Liên","5","https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20canh%20cua%20B%E1%BB%99t%20G%E1%BA%A1o%20-%20S%C3%BAp%20cua%20Ch%E1%BB%8B%20Li%C3%AAn&query_place_id=ChIJ_xDVq8UpdTERk73hUyf_uno",,"13"
"384 Đ. Phạm Văn Đồng, Phường 11, Bình Thạnh, Hồ Chí Minh, Việt Nam","Nhà hàng món nướng Hàn Quốc","true",,,"10.8205484","106.695398","Thứ Tư","08:00 to 21:00","Thứ Năm","08:00 to 21:00","Thứ Sáu","08:00 to 21:00","Thứ Bảy","08:00 to 21:00","Chủ Nhật","08:00 to 21:00","Thứ Hai","08:00 to 21:00","Thứ Ba","08:00 to 21:00",,"69","Bình Thạnh, Hồ Chí Minh","384 Đ. Phạm Văn Đồng","King BBQ","3.8","https://www.google.com/maps/search/?api=1&query=King%20BBQ&query_place_id=ChIJn4UFwO0odTERu9y1RPGs6ag",,"10"
"11 Đ.Trần Quốc Tuấn, Phường 1, Gò Vấp, Hồ Chí Minh 700000, Việt Nam","Nhà hàng","false","https://food.google.com/chooseprovider?restaurantId=/g/11fqcv86cg&g2lbs=AOHF13kHMI6oeGCayQev2m9_kABDsHSyqbLhFP-za5wzY-yUmEeXp_JCOQC-wigSBsbFBAT61AuhAJqapN-1lsdu3ei69EfWBkVhLcwfkuFMGPDZViskXdI%3D&hl=vi-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=_PRyZtDBEILbkPIPocKFsAg&ei=_PRyZtDBEILbkPIPocKFsAg&fo_s=OA,SOE&opi=79508299&foub=mcpp",,"10.821157","106.6932229","Thứ Tư","09:00 to 21:00","Thứ Năm","09:00 to 21:00","Thứ Sáu","09:00 to 21:00","Thứ Bảy","09:00 to 21:00","Chủ Nhật","09:00 to 21:00","Thứ Hai","09:00 to 23:00","Thứ Ba","09:00 to 23:00",,"68","Gò Vấp, Hồ Chí Minh","11 Đ.Trần Quốc Tuấn","Cơm gà Út Hoàng","1.6","https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20g%C3%A0%20%C3%9At%20Ho%C3%A0ng&query_place_id=ChIJu3yclZMpdTERervoFB9VZRk",,"12"
"434 Đ. Phạm Văn Đồng, Phường 11, Bình Thạnh, Hồ Chí Minh 770000, Việt Nam","Nhà hàng ăn nhanh","false",,,"10.8210286","106.6969442","Thứ Tư","09:00 to 22:00","Thứ Năm","09:00 to 22:00","Thứ Sáu","09:00 to 22:00","Thứ Bảy","09:00 to 22:00","Chủ Nhật","09:00 to 22:00","Thứ Hai","09:00 to 22:00","Thứ Ba","09:00 to 22:00",,"66","Bình Thạnh, Hồ Chí Minh","434 Đ. Phạm Văn Đồng","Retro Express Hồ Chí Minh",,"https://www.google.com/maps/search/?api=1&query=Retro%20Express%20H%E1%BB%93%20Ch%C3%AD%20Minh&query_place_id=ChIJ23DrpHkpdTER1tmg1e_hBkc",,"0"
"334j Đ. Phan Văn Trị, Phường 11, Bình Thạnh, Hồ Chí Minh, Việt Nam","Nhà hàng châu Á","true",,,"10.8186273","106.6949127",,,,,,,,,,,,,,,,"65","Bình Thạnh, Hồ Chí Minh","334j Đ. Phan Văn Trị","Cơm Gà Phú Yên",,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20G%C3%A0%20Ph%C3%BA%20Y%C3%AAn&query_place_id=ChIJAVEjq0spdTERUbmUSRqH5SU",,"0"
