"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"91/1 a Tổ 22 Ấp 6, Đông Thạnh, Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam","Quán ăn nhẹ","false",,,"10.8921464","106.6255277",,,,,,,,,,,,,,,,"82","Hóc Môn, Thành phố Hồ Chí Minh","91/1 a Tổ 22 Ấp 6","Gỏi cuốn",,"https://www.google.com/maps/search/?api=1&query=G%E1%BB%8Fi%20cu%E1%BB%91n&query_place_id=ChIJ-y1iih3VdDERXi3a-S0VMnA",,"0"
"126/5D Tổ 99 Âp Tam Đông, Thới Tam Thôn, Hóc Môn, Hồ Chí Minh, Việt Nam","Nhà hàng món nướng","false",,,"10.8870763","106.6212843","Thứ Ba","16:30 to 21:30","Thứ Tư","16:30 to 21:30","Thứ Năm","16:30 to 21:30","Thứ Sáu","16:30 to 21:30","Thứ Bảy","16:30 to 21:30","Chủ Nhật","16:30 to 21:30","Thứ Hai","16:30 to 21:30",,"72","Hóc Môn, Hồ Chí Minh","126/5D Tổ 99 Âp Tam Đông","Quán nướng 83",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20n%C6%B0%E1%BB%9Bng%2083&query_place_id=ChIJBe2MfQvVdDERn8lkhyiqgEg",,"0"
"11B Đ. Đặng Thúc Vịnh, Ap 1, Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.8992788","106.6293129",,,,,,,,,,,,,,,,"80","Hóc Môn, Thành phố Hồ Chí Minh","11B Đ. Đặng Thúc Vịnh","Dê Tươi Phúc Mập",,"https://www.google.com/maps/search/?api=1&query=D%C3%AA%20T%C6%B0%C6%A1i%20Ph%C3%BAc%20M%E1%BA%ADp&query_place_id=ChIJJX_VNODVdDERRM4FjLFbX90",,"0"
"VJQ7+6X6, Trịnh Thị Miếng, Thới Tam Thôn, Hóc Môn, Hồ Chí Minh, Việt Nam","Quán mì","true",,,"10.8880359","106.6148937",,,,,,,,,,,,,,,,"69","Hóc Môn, Hồ Chí Minh","VJQ7+6X6, Trịnh Thị Miếng","Quán Hương Ký Mì Gia",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20H%C6%B0%C6%A1ng%20K%C3%BD%20M%C3%AC%20Gia&query_place_id=ChIJcSwb5_DVdDERMalvjmNDxkU",,"0"
"371 Đ. Đặng Thúc Vịnh, Đông Thạnh, Hóc Môn, Hồ Chí Minh, Việt Nam","Nhà hàng ăn nhanh","true",,,"10.9017865","106.6322154","Thứ Ba","06:00 to 11:00, 16:00 to 21:00","Thứ Tư","06:00 to 11:00, 16:00 to 21:00","Thứ Năm","06:00 to 11:00, 16:00 to 21:00","Thứ Sáu","06:00 to 11:00, 16:00 to 21:00","Thứ Bảy","06:00 to 11:00, 16:00 to 21:00","Chủ Nhật","06:00 to 11:00, 16:00 to 21:00","Thứ Hai","06:00 to 11:00, 16:00 to 21:00",,"68","Hóc Môn, Hồ Chí Minh","371 Đ. Đặng Thúc Vịnh","Phở Ngũ Vị","4.5","https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20Ng%C5%A9%20V%E1%BB%8B&query_place_id=ChIJvcCTNw_XdDERS2HCHUw5Y6c",,"18"
"41/50/7 Đông Thạnh 3, Ấp 6, Hóc Môn, Hồ Chí Minh, Việt Nam","Nhà hàng phở","true",,,"10.9014272","106.6313441","Thứ Ba","06:00 to 12:00","Thứ Tư","06:00 to 12:00","Thứ Năm","06:00 to 12:00","Thứ Sáu","06:00 to 12:00","Thứ Bảy","06:00 to 12:00","Chủ Nhật","06:00 to 12:00","Thứ Hai","06:00 to 12:00",,"67","Hóc Môn, Hồ Chí Minh","41/50/7 Đông Thạnh 3","Phở Cù Lần",,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20C%C3%B9%20L%E1%BA%A7n&query_place_id=ChIJyTnGn0HXdDERDemm5ud2Q6A",,"0"
"Thới Tam Thôn, Hóc Môn, Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","false",,,"10.8880432","106.6146038",,,,,,,,,,,,,,,,"66","Hóc Môn, Hồ Chí Minh",,"Phở Nam Định",,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20Nam%20%C4%90%E1%BB%8Bnh&query_place_id=ChIJVfY2xrXVdDERvpAqSG-henM",,"0"
"13/1i, 13 Đ. Thới Tam Thôn 9, Thới Tam Thôn, Hóc Môn, Hồ Chí Minh 70000, Việt Nam","Quán ăn nhỏ","true",,,"10.8969351","106.6156723","Thứ Ba","00:00 to 09:30, 15:30 to 00:00","Thứ Tư","00:00 to 09:30, 15:30 to 00:00","Thứ Năm","00:00 to 09:30, 15:30 to 00:00","Thứ Sáu","00:00 to 09:30, 15:30 to 00:00","Thứ Bảy","00:00 to 09:30, 15:30 to 00:00","Chủ Nhật","00:00 to 09:30, 15:30 to 00:00","Thứ Hai","00:00 to 09:30, 15:30 to 00:00",,"64","Hóc Môn, Hồ Chí Minh","13/1i, 13 Đ. Thới Tam Thôn 9","Cháo lòng thanh tuyền",,"https://www.google.com/maps/search/?api=1&query=Ch%C3%A1o%20l%C3%B2ng%20thanh%20tuy%E1%BB%81n&query_place_id=ChIJewpQcB_VdDER-7eKezVonFo",,"0"
"9/8 Đặng Thúc Vịnh Tổ 59 - Âp Trung Đông, Thới Tam Thôn, Hóc Môn, Hồ Chí Minh, Việt Nam","Nhà hàng gia đình","true",,,"10.8930791","106.6181288","Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày",,"60","Hóc Môn, Hồ Chí Minh","9/8 Đặng Thúc Vịnh Tổ 59 - Âp Trung Đông","Quán Cá Ngừ Đại Dương",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%C3%A1%20Ng%E1%BB%AB%20%C4%90%E1%BA%A1i%20D%C6%B0%C6%A1ng&query_place_id=ChIJAShnSQDVdDERiTt9P8E1SzM",,"0"
"4/5 ấp 1, Đông Thạnh, Hóc Môn, Hồ Chí Minh, Việt Nam","Nhà hàng chuyên phục vụ bữa sáng","true",,,"10.8994411","106.6276471","Thứ Ba","06:00 to 13:00","Thứ Tư","06:00 to 13:00","Thứ Năm","06:00 to 13:00","Thứ Sáu","06:00 to 13:00","Thứ Bảy","06:00 to 13:00","Chủ Nhật","Đóng cửa","Thứ Hai","06:00 to 13:00",,"63","Hóc Môn, Hồ Chí Minh","4/5 ấp 1","Cơm tấm Anh Mập",,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20t%E1%BA%A5m%20Anh%20M%E1%BA%ADp&query_place_id=ChIJYbLEH6bVdDERbZzOlKh_0K4",,"0"
