"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"217 Nguyễn Văn Khạ, TT. Củ Chi, Củ Chi, Hồ Chí Minh, Việt Nam","Nhà hàng gia đình","true",,,"10.9809947","106.4935198","Thứ Ba","Mở cửa cả ngày","Thứ Tư","Mở cửa cả ngày","Thứ Năm","Mở cửa cả ngày","Thứ Sáu","Mở cửa cả ngày","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","Mở cửa cả ngày","Thứ Hai","Mở cửa cả ngày",,"73","Củ Chi, Hồ Chí Minh","217 Nguyễn Văn Khạ","HỦ TÍU NAM VANG - PHỞ BÒ A TÈO",,"https://www.google.com/maps/search/?api=1&query=H%E1%BB%A6%20T%C3%8DU%20NAM%20VANG%20-%20PH%E1%BB%9E%20B%C3%92%20A%20T%C3%88O&query_place_id=ChIJhS0qVwAtCzERVNG0EljGegc",,"0"
"38 Lưu Khai Hồng, TT. Củ Chi, Củ Chi, Hồ Chí Minh, Việt Nam","Nhà hàng châu Á","true",,,"10.9736445","106.5008508","Thứ Ba","06:30 to 18:30","Thứ Tư","06:30 to 18:30","Thứ Năm","06:30 to 18:30","Thứ Sáu","06:30 to 18:30","Thứ Bảy","06:30 to 18:30","Chủ Nhật","06:30 to 18:30","Thứ Hai","06:30 to 18:30",,"75","Củ Chi, Hồ Chí Minh","38 Lưu Khai Hồng","Lò Chả Hồng Thủy","4.7","https://www.google.com/maps/search/?api=1&query=L%C3%B2%20Ch%E1%BA%A3%20H%E1%BB%93ng%20Th%E1%BB%A7y&query_place_id=ChIJp1mp66srCzERJV6zcJk1weE",,"3"
"Phạm Hữu Tâm, TT. Củ Chi, Củ Chi, Hồ Chí Minh, Việt Nam","Nhà hàng","false",,,"10.9720532","106.5017687","Thứ Ba","06:00 to 20:00","Thứ Tư","06:00 to 20:00","Thứ Năm","06:00 to 20:00","Thứ Sáu","06:00 to 20:00","Thứ Bảy","06:00 to 20:00","Chủ Nhật","06:00 to 20:00","Thứ Hai","06:00 to 20:00",,"77","Củ Chi, Hồ Chí Minh","Phạm Hữu Tâm","Cơm tấm - bún thịt nướng cô hai tuyết","4.8","https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20t%E1%BA%A5m%20-%20b%C3%BAn%20th%E1%BB%8Bt%20n%C6%B0%E1%BB%9Bng%20c%C3%B4%20hai%20tuy%E1%BA%BFt&query_place_id=ChIJwxwynq0tCzERT0MXKNwsp6Y",,"4"
"204 Liêu Bình Hương, Tân Thông Hội, Củ Chi, Hồ Chí Minh, Việt Nam","Nhà hàng ăn nhanh","true",,,"10.9738917","106.5048717","Thứ Ba","16:00 to 00:00","Thứ Tư","16:00 to 00:00","Thứ Năm","16:00 to 00:00","Thứ Sáu","16:00 to 00:00","Thứ Bảy","Mở cửa cả ngày","Chủ Nhật","16:00 to 00:00","Thứ Hai","16:00 to 00:00",,"71","Củ Chi, Hồ Chí Minh","204 Liêu Bình Hương","Ốc nhiên 30k","4.3","https://www.google.com/maps/search/?api=1&query=%E1%BB%90c%20nhi%C3%AAn%2030k&query_place_id=ChIJNeLGOXUrCzERL76m4n8RAGo",,"3"
"XGG3+7CC, Liêu Bình Hương, Ấp Tân Thành, Củ Chi, Hồ Chí Minh, Việt Nam","Nhà hàng ăn nhanh","false",,,"10.9757321","106.5035604","Thứ Ba","10:00 to 21:00","Thứ Tư","10:00 to 21:00","Thứ Năm","10:00 to 21:00","Thứ Sáu","10:00 to 21:00","Thứ Bảy","10:00 to 21:00","Chủ Nhật","Đóng cửa","Thứ Hai","10:00 to 21:00",,"69","Củ Chi, Hồ Chí Minh","XGG3+7CC, Liêu Bình Hương","Quán Bột Chiên Cô Ba",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20B%E1%BB%99t%20Chi%C3%AAn%20C%C3%B4%20Ba&query_place_id=ChIJScZpdIAtCzER1dZOOeWt7Wo",,"0"
"10 TL8, Phước Vĩnh An, Củ Chi, Hồ Chí Minh, Việt Nam","Nhà hàng","true",,,"10.9808384","106.5117849",,,,,,,,,,,,,,,,"76","Củ Chi, Hồ Chí Minh","10 TL8","Quán ăn nhậu chú Hệ",,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C4%83n%20nh%E1%BA%ADu%20ch%C3%BA%20H%E1%BB%87&query_place_id=ChIJAbcPHgAtCzER7QlaWZEWH0c",,"0"
"236 Liêu Bình Hương, Tân Thông Hội, Củ Chi, Hồ Chí Minh, Việt Nam","Nhà hàng","false",,,"10.9752404","106.5041028","Thứ Ba","15:00 to 22:00","Thứ Tư","15:00 to 22:30","Thứ Năm","15:00 to 22:00","Thứ Sáu","15:00 to 22:30","Thứ Bảy","15:00 to 22:30","Chủ Nhật","11:00 to 22:00","Thứ Hai","15:00 to 22:00",,"68","Củ Chi, Hồ Chí Minh","236 Liêu Bình Hương","Quán Ăn NUNA - korea fast food","3","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C4%82n%20NUNA%20-%20korea%20fast%20food&query_place_id=ChIJ4YzWZyUtCzEREoP0nmrDEOQ",,"2"
"74 Đường số 35, TT. Củ Chi, Củ Chi, Hồ Chí Minh, Việt Nam","Quán ăn nhỏ","true",,,"10.9802411","106.4941782","Thứ Ba","10:00 to 14:00, 16:00 to 21:00","Thứ Tư","10:00 to 14:00, 16:00 to 21:00","Thứ Năm","10:00 to 14:00, 16:00 to 21:00","Thứ Sáu","10:00 to 14:00, 16:00 to 21:00","Thứ Bảy","10:00 to 14:00, 16:00 to 21:00","Chủ Nhật","10:00 to 14:00, 16:00 to 21:00","Thứ Hai","10:00 to 14:00, 16:00 to 21:00",,"67","Củ Chi, Hồ Chí Minh","74 Đường số 35","Gà Xe Lửa","4.5","https://www.google.com/maps/search/?api=1&query=G%C3%A0%20Xe%20L%E1%BB%ADa&query_place_id=ChIJ0RLsj_ktCzERlZVYVRgOJmk","https://www.facebook.com/gaxeluacuchi","11"
"tổ 1, 09 Đường Lê Vĩnh Huy, khu pho 7, Củ Chi, Hồ Chí Minh, Việt Nam","Nhà hàng món nướng","true",,,"10.9748021","106.4958873","Thứ Ba","06:00 to 19:59","Thứ Tư","06:00 to 19:59","Thứ Năm","06:00 to 19:59","Thứ Sáu","06:00 to 19:59","Thứ Bảy","06:00 to 19:59","Chủ Nhật","06:00 to 19:59","Thứ Hai","06:00 to 19:59",,"66","Củ Chi, Hồ Chí Minh","tổ 1, 09 Đường Lê Vĩnh Huy","Thịt nướng Đà Lạt BBQ 2",,"https://www.google.com/maps/search/?api=1&query=Th%E1%BB%8Bt%20n%C6%B0%E1%BB%9Bng%20%C4%90%C3%A0%20L%E1%BA%A1t%20BBQ%202&query_place_id=ChIJJ9hAz8QrCzERTYuiz7c4gJI",,"0"
"Kế số 44, Nguyễn Văn Khạ, Khu phố 1, Thành phố Hồ Chí Minh, Hồ Chí Minh 700000, Việt Nam","Nhà hàng chuyên phục vụ bữa sáng","false",,,"10.973429","106.488942","Thứ Ba","06:00 to 13:00, 16:30 to 21:30","Thứ Tư","06:00 to 13:00, 16:30 to 21:30","Thứ Năm","06:00 to 13:00, 16:30 to 21:30","Thứ Sáu","06:00 to 13:00, 16:30 to 21:30","Thứ Bảy","06:00 to 13:00, 16:30 to 21:30","Chủ Nhật","06:00 to 13:00, 16:30 to 21:30","Thứ Hai","06:00 to 13:00, 16:30 to 21:30",,"64","Thành phố Hồ Chí Minh, Hồ Chí Minh","Kế số 44, Nguyễn Văn Khạ","Bếp Nhà Thư",,"https://www.google.com/maps/search/?api=1&query=B%E1%BA%BFp%20Nh%C3%A0%20Th%C6%B0&query_place_id=ChIJJ3P9OCHTdDER0EHStjmNxLY",,"0"
